                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6904,                0.02037,                0.08249,                 4.5574,             0.00023737,             0.00023737,             0.00023737
                      2,                  1.509,                0.02811,                0.13805,                 4.5518,             0.00046192,             0.00046192,             0.00046192
                      3,                0.79546,                0.02795,                0.14983,                 4.5529,             0.00067301,             0.00067301,             0.00067301
                      4,                 0.5844,                0.02626,                0.13316,                 4.5548,             0.00065341,             0.00065341,             0.00065341
                      5,                0.47799,                0.02593,                0.14613,                 4.5552,             0.00065341,             0.00065341,             0.00065341
                      6,                0.44429,                0.02508,                0.13889,                 4.5557,             0.00063322,             0.00063322,             0.00063322
                      7,                0.35017,                0.02525,                0.15825,                 4.5564,             0.00061302,             0.00061302,             0.00061302
                      8,                0.31715,                0.02559,                0.12912,                 4.5561,             0.00059282,             0.00059282,             0.00059282
                      9,                0.28973,                0.02391,                0.12778,                 4.5581,             0.00057263,             0.00057263,             0.00057263
                     10,                 0.2685,                0.02508,                0.14057,                 4.5564,             0.00055243,             0.00055243,             0.00055243
                     11,                0.25313,                0.02391,                0.14764,                 4.5572,             0.00053224,             0.00053224,             0.00053224
                     12,                0.22908,                0.02391,                0.14226,                 4.5578,             0.00051204,             0.00051204,             0.00051204
                     13,                0.22508,                0.02458,                0.14596,                 4.5572,             0.00049184,             0.00049184,             0.00049184
                     14,                0.20785,                0.02374,                 0.1463,                 4.5581,             0.00047165,             0.00047165,             0.00047165
                     15,                0.20538,                0.02458,                0.15791,                 4.5574,             0.00045145,             0.00045145,             0.00045145
                     16,                0.18969,                0.02475,                0.14495,                 4.5573,             0.00043126,             0.00043126,             0.00043126
                     17,                0.18745,                0.02323,                0.13805,                 4.5583,             0.00041106,             0.00041106,             0.00041106
                     18,                0.16465,                0.02306,                0.15135,                 4.5586,             0.00039086,             0.00039086,             0.00039086
                     19,                0.16263,                0.02306,                0.12761,                 4.5583,             0.00037067,             0.00037067,             0.00037067
                     20,                0.15447,                 0.0234,                0.13956,                 4.5579,             0.00035047,             0.00035047,             0.00035047
                     21,                0.14508,                0.02323,                0.13502,                 4.5584,             0.00033028,             0.00033028,             0.00033028
                     22,                0.13996,                0.02357,                0.13316,                 4.5584,             0.00031008,             0.00031008,             0.00031008
                     23,                0.13966,                0.02323,                0.14411,                 4.5587,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12941,                0.02306,                0.14192,                 4.5586,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12032,                0.02306,                  0.133,                 4.5585,             0.00024949,             0.00024949,             0.00024949
                     26,                0.11202,                0.02306,                0.14175,                 4.5585,              0.0002293,              0.0002293,              0.0002293
                     27,                0.10857,                0.02306,                0.14259,                 4.5585,              0.0002091,              0.0002091,              0.0002091
                     28,                 0.1107,                 0.0234,                0.14714,                 4.5582,              0.0001889,              0.0001889,              0.0001889
                     29,                0.10396,                0.02357,                0.14512,                 4.5582,             0.00016871,             0.00016871,             0.00016871
                     30,                0.09179,                0.02323,                0.14731,                 4.5583,             0.00014851,             0.00014851,             0.00014851
                     31,                0.11131,                 0.0234,                0.14343,                  4.558,             0.00012832,             0.00012832,             0.00012832
                     32,                0.09653,                0.02306,                0.14428,                 4.5584,             0.00010812,             0.00010812,             0.00010812
                     33,                0.08558,                0.02306,                0.14545,                 4.5585,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09237,                0.02323,                0.14731,                 4.5584,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.09231,                0.02306,                 0.1431,                 4.5587,             4.7532e-05,             4.7532e-05,             4.7532e-05
