epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,224.547,4.3456,0.00962,0.11739,4.63297,3.19242e-05,3.19242e-05,3.19242e-05
2,461.409,3.25657,0.03597,0.10776,5.67033,6.2116e-05,6.2116e-05,6.2116e-05
3,689.749,2.03976,0.04292,0.11786,6.67883,9.04976e-05,9.04976e-05,9.04976e-05
4,892.443,1.1646,0.04418,0.1054,7.53458,8.78537e-05,8.78537e-05,8.78537e-05
5,1093.68,0.73252,0.04339,0.09972,8.37948,8.51383e-05,8.51383e-05,8.51383e-05
6,1296.3,0.53866,0.04402,0.10177,8.97775,8.24229e-05,8.24229e-05,8.24229e-05
7,1499.46,0.41866,0.04576,0.10192,9.3237,7.97074e-05,7.97074e-05,7.97074e-05
8,1844.48,0.34472,0.04576,0.11013,9.5687,7.6992e-05,7.6992e-05,7.6992e-05
9,2045.07,0.29289,0.04607,0.10618,9.93466,7.42766e-05,7.42766e-05,7.42766e-05
10,2252.38,0.26267,0.04576,0.1054,10.2976,7.15611e-05,7.15611e-05,7.15611e-05
11,2453.79,0.24314,0.04623,0.10192,10.5901,6.88457e-05,6.88457e-05,6.88457e-05
12,2662.05,0.20353,0.04623,0.10398,10.8414,6.61303e-05,6.61303e-05,6.61303e-05
13,2864.29,0.19958,0.04607,0.10524,10.8771,6.34149e-05,6.34149e-05,6.34149e-05
14,3068.25,0.17815,0.04591,0.10271,10.981,6.06994e-05,6.06994e-05,6.06994e-05
15,3268.99,0.17886,0.04591,0.10145,11.2905,5.7984e-05,5.7984e-05,5.7984e-05
16,3472.14,0.15732,0.04591,0.10334,11.2385,5.52686e-05,5.52686e-05,5.52686e-05
17,3678.54,0.15487,0.04591,0.10461,11.4446,5.25531e-05,5.25531e-05,5.25531e-05
18,3875.85,0.14018,0.04607,0.09814,11.7092,4.98377e-05,4.98377e-05,4.98377e-05
19,4092.15,0.13732,0.04639,0.1035,11.683,4.71223e-05,4.71223e-05,4.71223e-05
20,4313.15,0.13059,0.04639,0.10224,11.8349,4.44069e-05,4.44069e-05,4.44069e-05
21,4533.16,0.12357,0.04607,0.10319,11.8542,4.16914e-05,4.16914e-05,4.16914e-05
22,4754.78,0.11386,0.04623,0.10429,11.8992,3.8976e-05,3.8976e-05,3.8976e-05
23,4975.18,0.11861,0.04639,0.10398,11.9656,3.62606e-05,3.62606e-05,3.62606e-05
24,5191.41,0.10874,0.04623,0.10287,12.0647,3.35451e-05,3.35451e-05,3.35451e-05
25,5411.79,0.11244,0.04591,0.10682,11.9136,3.08297e-05,3.08297e-05,3.08297e-05
26,5630.22,0.10209,0.04607,0.10114,12.1783,2.81143e-05,2.81143e-05,2.81143e-05
27,5854.58,0.10434,0.04623,0.10082,12.1123,2.53989e-05,2.53989e-05,2.53989e-05
28,6076.94,0.10526,0.04639,0.09924,12.368,2.26834e-05,2.26834e-05,2.26834e-05
29,6294.33,0.10601,0.04623,0.10366,12.4591,1.9968e-05,1.9968e-05,1.9968e-05
30,6516.31,0.10588,0.04607,0.10445,12.3212,1.72526e-05,1.72526e-05,1.72526e-05
31,6735.92,0.09926,0.04607,0.10256,12.3833,1.45371e-05,1.45371e-05,1.45371e-05
32,6958.15,0.09517,0.04607,0.10192,12.4481,1.18217e-05,1.18217e-05,1.18217e-05
33,7176.92,0.09464,0.04623,0.10319,12.565,9.10629e-06,9.10629e-06,9.10629e-06
34,7398.21,0.09275,0.04623,0.10192,12.4705,6.39086e-06,6.39086e-06,6.39086e-06
35,7605.43,0.09543,0.04607,0.1024,12.4935,3.67543e-06,3.67543e-06,3.67543e-06
