epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,436.891,4.3193,0.00947,0.07005,4.86721,3.25858e-05,3.25858e-05,3.25858e-05
2,938.074,2.78607,0.04923,0.08268,6.06805,6.34068e-05,6.34068e-05,6.34068e-05
3,1359.62,1.4177,0.04938,0.11029,7.26933,9.23797e-05,9.23797e-05,9.23797e-05
4,1594.57,0.69984,0.04812,0.12007,8.42382,8.9684e-05,8.9684e-05,8.9684e-05
5,1836.49,0.40749,0.0467,0.12244,9.12502,8.6912e-05,8.6912e-05,8.6912e-05
6,2071.04,0.28055,0.04607,0.12796,9.64428,8.414e-05,8.414e-05,8.414e-05
7,2308.09,0.23374,0.04654,0.12354,10.1468,8.1368e-05,8.1368e-05,8.1368e-05
8,2559.44,0.18385,0.04623,0.12401,10.5756,7.8596e-05,7.8596e-05,7.8596e-05
9,2816.14,0.15402,0.04718,0.1166,10.5165,7.5824e-05,7.5824e-05,7.5824e-05
10,3101.91,0.1371,0.04686,0.12275,10.9599,7.3052e-05,7.3052e-05,7.3052e-05
11,3328.91,0.1172,0.04654,0.1218,11.3847,7.028e-05,7.028e-05,7.028e-05
12,3561.16,0.10535,0.04623,0.11881,11.8855,6.7508e-05,6.7508e-05,6.7508e-05
13,3783.7,0.10169,0.04623,0.12133,11.7621,6.4736e-05,6.4736e-05,6.4736e-05
14,4003.28,0.08676,0.04654,0.12228,11.9567,6.1964e-05,6.1964e-05,6.1964e-05
15,4221.72,0.08327,0.04623,0.12212,12.0969,5.9192e-05,5.9192e-05,5.9192e-05
16,4440.71,0.0821,0.04623,0.12102,12.0498,5.642e-05,5.642e-05,5.642e-05
17,4660.17,0.06431,0.04654,0.12607,12.1593,5.3648e-05,5.3648e-05,5.3648e-05
18,4884.73,0.07726,0.04654,0.12401,12.43,5.0876e-05,5.0876e-05,5.0876e-05
19,5106.36,0.06529,0.04639,0.12543,12.3339,4.8104e-05,4.8104e-05,4.8104e-05
20,5324.45,0.05883,0.04639,0.12812,12.5383,4.5332e-05,4.5332e-05,4.5332e-05
21,5545.42,0.05741,0.04623,0.12086,12.6596,4.256e-05,4.256e-05,4.256e-05
22,5766.08,0.06117,0.04654,0.1196,12.5881,3.9788e-05,3.9788e-05,3.9788e-05
23,5987.21,0.0583,0.04639,0.1278,12.68,3.7016e-05,3.7016e-05,3.7016e-05
24,6206.12,0.0547,0.04623,0.12733,12.5773,3.4244e-05,3.4244e-05,3.4244e-05
25,6424.16,0.05403,0.04654,0.12812,12.921,3.1472e-05,3.1472e-05,3.1472e-05
26,6637.35,0.04508,0.04654,0.1237,12.7496,2.87e-05,2.87e-05,2.87e-05
27,6847.03,0.04775,0.04654,0.12165,12.6197,2.5928e-05,2.5928e-05,2.5928e-05
28,7056.48,0.04665,0.0467,0.12559,12.7159,2.3156e-05,2.3156e-05,2.3156e-05
29,7267.09,0.04971,0.04654,0.12196,12.8988,2.0384e-05,2.0384e-05,2.0384e-05
30,7477.46,0.04487,0.04654,0.1207,12.768,1.7612e-05,1.7612e-05,1.7612e-05
31,7687.58,0.04142,0.04623,0.12102,13.1041,1.484e-05,1.484e-05,1.484e-05
32,7897.35,0.04104,0.04623,0.1207,12.8778,1.2068e-05,1.2068e-05,1.2068e-05
33,8107.62,0.04551,0.04623,0.12196,12.903,9.296e-06,9.296e-06,9.296e-06
34,8325.26,0.04194,0.04623,0.12023,12.8588,6.524e-06,6.524e-06,6.524e-06
35,8537.95,0.04111,0.04639,0.12086,12.9231,3.752e-06,3.752e-06,3.752e-06
