                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7631,                 4.6303,                 2.7299,                 1.9309,                 0.0035,                      1,                  0.345,                 0.1759,                 0.0035,                      1,                0.36356,                0.14915,                0.45787,                 2.3376,                 2.5775,                 0.9966,                 0.0937,                 0.0007,                 0.0007
                      1,                0.92775,                 2.0661,                 2.3807,                 1.3326,                0.00344,                      1,                0.56389,                0.43525,                0.00344,                      1,                0.56189,                0.41364,                0.39465,                0.99124,                 2.4998,                0.91888,               0.086426,              0.0014257,              0.0014257
                      2,                0.72558,                    1.3,                 1.9318,                 1.1832,                0.00379,                      1,                0.97181,                0.85998,                0.00379,                      1,                0.97181,                0.82449,                0.40907,                0.84902,                 2.3551,                0.94705,               0.079072,              0.0020723,              0.0020723
                      3,                0.67623,                 1.0284,                 1.3857,                 1.1033,                      1,                0.93533,                0.99318,                0.88222,                      1,                0.93533,                0.99318,                0.86778,                0.53468,                 0.6952,                 2.0612,                 1.2056,                0.07164,              0.0026396,              0.0026396
                      4,                0.63387,                  1.024,                 1.0196,                  1.095,                      1,                0.95898,                  0.995,                0.93414,                      1,                0.95898,                  0.995,                0.87588,                0.42423,                0.71056,                 1.8973,                 1.0007,               0.064128,              0.0031278,              0.0031278
                      5,                0.62553,                0.88859,                 0.9375,                 1.0343,                      1,                0.98146,                  0.995,                0.89828,                      1,                0.98146,                  0.995,                0.86604,                0.52677,                0.75245,                 1.8244,                 1.0418,               0.056537,              0.0035367,              0.0035367
                      6,                0.60011,                0.82711,                0.80558,                0.99951,                0.98881,                      1,                  0.995,                0.90634,                0.98881,                      1,                  0.995,                0.86186,                  0.491,                0.67388,                 1.5194,                  0.982,               0.048867,              0.0038665,              0.0038665
                      7,                0.60186,                0.75131,                0.82622,                 1.0357,                0.98517,                      1,                  0.995,                0.92479,                0.98517,                      1,                  0.995,                0.86918,                0.47815,                 0.7605,                 1.5357,                0.98973,               0.041117,              0.0041171,              0.0041171
                      8,                0.63664,                0.85301,                0.83194,                  1.049,                0.98952,                      1,                  0.995,                0.95162,                0.98952,                      1,                  0.995,                0.86985,                0.40644,                0.70851,                 1.4714,                0.90235,               0.033288,              0.0042884,              0.0042884
                      9,                0.57152,                0.90308,                0.76459,                0.99721,                0.98949,                      1,                  0.995,                0.86511,                0.98949,                      1,                  0.995,                0.80192,                0.60314,                0.79636,                 1.4525,                 1.1924,               0.025381,              0.0043806,              0.0043806
                     10,                0.46496,                0.81475,                 1.4402,                 1.0835,                0.95947,                      1,                  0.995,                0.94166,                0.95947,                      1,                  0.995,                0.87039,                0.53667,                0.73183,                  1.701,                 1.0402,               0.017394,              0.0043935,              0.0043935
                     11,                0.44243,                0.70628,                  1.272,                 1.0518,                0.99386,                      1,                  0.995,                0.90824,                0.99386,                      1,                  0.995,                0.86429,                0.66007,                  0.744,                 1.3571,                 1.2385,              0.0093273,              0.0043273,              0.0043273
                     12,                0.39979,                0.77336,                 1.2281,                 1.0203,                0.99602,                      1,                  0.995,                0.97114,                0.99602,                      1,                  0.995,                0.87916,                0.44323,                0.79762,                  1.096,                 0.9031,                0.00406,                0.00406,                0.00406
                     13,                0.40228,                0.70781,                 1.0807,                 1.0184,                0.99471,                      1,                  0.995,                0.91299,                0.99471,                      1,                  0.995,                0.85501,                 0.4883,                0.71936,                 1.0254,                0.92416,                0.00406,                0.00406,                0.00406
                     14,                 0.4402,                 0.6246,                 1.0938,                 1.0566,                0.99564,                      1,                  0.995,                0.94329,                0.99564,                      1,                  0.995,                 0.8851,                0.43938,                0.69052,                0.84798,                0.91878,               0.003565,               0.003565,               0.003565
                     15,                0.38608,                0.63199,                  1.042,                 1.0076,                0.99678,                      1,                  0.995,                0.90524,                0.99678,                      1,                  0.995,                0.86636,                0.51503,                0.72906,                0.77316,                 1.0146,                0.00307,                0.00307,                0.00307
                     16,                0.34677,                0.59789,                0.98281,                0.96018,                0.99729,                      1,                  0.995,                0.89481,                0.99729,                      1,                  0.995,                 0.8782,                0.48671,                0.65814,                0.78556,                0.99083,               0.002575,               0.002575,               0.002575
                     17,                0.33066,                0.57486,                0.94383,                0.95957,                0.99738,                      1,                  0.995,                0.90417,                0.99738,                      1,                  0.995,                0.88379,                0.47564,                0.60916,                0.74703,                0.99816,                0.00208,                0.00208,                0.00208
                     18,                0.32232,                0.54478,                0.89711,                0.93435,                0.99768,                      1,                  0.995,                0.89785,                0.99768,                      1,                  0.995,                 0.8833,                0.50294,                0.64711,                0.67335,                 1.0906,               0.001585,               0.001585,               0.001585
                     19,                0.31167,                0.51753,                 0.8713,                 0.9655,                0.99778,                      1,                  0.995,                0.90765,                0.99778,                      1,                  0.995,                0.87573,                0.47304,                0.64999,                0.67205,                0.99588,                0.00109,                0.00109,                0.00109
