                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0896,                 1.0721,                 1.1262,                0.02212,                0.10714,                0.01504,                0.00877,                 2.1034,                 72.702,                 2.1583,               0.067892,             0.00032432,             0.00032432
                      2,                0.88929,                  0.865,                 1.0273,                 0.7339,                0.78571,                0.85024,                0.45359,                 1.3532,                 4.6685,                 1.9935,                0.03487,             0.00063595,             0.00063595
                      3,                0.94233,                 0.8663,                 1.0226,                0.56822,                0.60714,                 0.6486,                0.31955,                 1.6817,                 7.3911,                 2.4314,              0.0018265,             0.00092559,             0.00092559
                      4,                  1.026,                 1.0912,                 1.0497,                0.74923,                0.83929,                0.90584,                0.55786,                 1.3072,                 3.1974,                 1.6013,               0.000901,               0.000901,               0.000901
                      5,                0.94369,                 0.8102,                 1.0264,                0.55433,                  0.875,                0.82961,                0.50608,                  1.327,                 4.9181,                 1.8521,               0.000901,               0.000901,               0.000901
                      6,                0.95569,                0.81462,                 1.0157,                 0.6304,                0.80357,                0.82013,                0.45962,                 1.2735,                  4.465,                 1.9857,               0.000868,               0.000868,               0.000868
                      7,                0.90219,                0.80264,                 1.0159,                0.66949,                0.78571,                0.88849,                0.60166,                  1.237,                 2.1627,                 1.7034,               0.000835,               0.000835,               0.000835
                      8,                0.84174,                0.69421,                0.98544,                0.46935,                0.92857,                0.66612,                0.38558,                 1.4143,                 3.8732,                 1.7682,               0.000802,               0.000802,               0.000802
                      9,                0.80472,                0.63071,                0.97857,                0.82141,                0.82132,                0.90085,                 0.6056,                 1.0374,                  1.589,                 1.3911,               0.000769,               0.000769,               0.000769
                     10,                0.82602,                0.65002,                0.99723,                0.81431,                0.91071,                0.92747,                0.63583,                 1.0399,                 1.2586,                 1.4261,               0.000736,               0.000736,               0.000736
                     11,                 0.8082,                0.64397,                0.98461,                0.81824,                0.96468,                0.94879,                0.62043,                 1.2298,                 1.5369,                 1.4427,               0.000703,               0.000703,               0.000703
                     12,                0.77834,                0.61384,                 0.9769,                0.65997,                0.85714,                0.71124,                0.53472,                0.97021,                   1.62,                 1.3395,                0.00067,                0.00067,                0.00067
                     13,                 0.7768,                0.56359,                0.94855,                  0.981,                0.92225,                0.97728,                0.69992,                 1.0944,                0.96752,                 1.4749,               0.000637,               0.000637,               0.000637
                     14,                0.79062,                0.60684,                0.96246,                0.97628,                0.92857,                 0.9767,                0.73876,                0.98543,                 0.9638,                  1.377,               0.000604,               0.000604,               0.000604
                     15,                0.74679,                0.56502,                0.95982,                0.96258,                0.91871,                0.97457,                0.74302,                0.95703,                0.94251,                 1.3507,               0.000571,               0.000571,               0.000571
                     16,                  0.808,                0.56148,                0.95558,                0.99995,                0.89286,                0.97262,                0.73693,                0.98926,                 0.8705,                 1.3523,               0.000538,               0.000538,               0.000538
                     17,                 0.7595,                0.55226,                0.96052,                 0.9811,                0.92684,                0.98046,                0.75304,                0.91955,                0.81717,                  1.318,               0.000505,               0.000505,               0.000505
                     18,                 0.8113,                0.56071,                0.93951,                      1,                0.90948,                0.98328,                0.76667,                0.89095,                0.80861,                  1.298,               0.000472,               0.000472,               0.000472
                     19,                 0.7234,                0.55028,                0.94668,                      1,                0.92457,                0.98241,                0.78397,                0.91095,                0.82721,                 1.3282,               0.000439,               0.000439,               0.000439
                     20,                0.73963,                0.51857,                 0.9511,                      1,                0.95826,                0.98949,                0.79733,                0.83775,                0.74633,                 1.2668,               0.000406,               0.000406,               0.000406
                     21,                 0.7112,                0.62958,                0.96109,                0.97769,                0.92857,                0.97597,                0.80097,                0.73202,                0.80588,                  1.167,               0.000373,               0.000373,               0.000373
                     22,                0.65788,                0.54318,                0.94487,                0.99564,                0.92857,                0.97123,                0.78617,                 0.7515,                0.71324,                 1.1932,                0.00034,                0.00034,                0.00034
                     23,                0.67598,                0.53558,                0.92925,                0.99631,                0.92857,                0.98569,                0.80524,                0.78553,                0.65038,                 1.2285,               0.000307,               0.000307,               0.000307
                     24,                0.68312,                  0.615,                0.92948,                0.99882,                0.94643,                0.98874,                0.82934,                 0.7595,                0.66049,                 1.1993,               0.000274,               0.000274,               0.000274
                     25,                0.66128,                0.56284,                0.92623,                      1,                0.98006,                0.99389,                0.82171,                0.72819,                0.60091,                 1.1887,               0.000241,               0.000241,               0.000241
                     26,                0.67587,                0.57198,                0.93783,                0.98192,                0.96963,                0.99353,                0.80512,                   0.74,                0.58679,                 1.1882,               0.000208,               0.000208,               0.000208
                     27,                0.65134,                0.50527,                0.93667,                0.97711,                0.98214,                0.99288,                0.81919,                 0.7129,                0.55773,                 1.1665,               0.000175,               0.000175,               0.000175
                     28,                0.63798,                0.52185,                0.93084,                0.98208,                0.97883,                0.99221,                0.82946,                0.68418,                0.55726,                 1.1546,               0.000142,               0.000142,               0.000142
                     29,                0.61948,                0.51877,                0.93561,                0.99119,                0.92857,                0.98034,                0.82071,                0.69742,                0.61135,                 1.1499,               0.000109,               0.000109,               0.000109
                     30,                0.63415,                0.49296,                0.91955,                0.98881,                0.92857,                0.97622,                0.82091,                0.69122,                0.62247,                 1.1536,                7.6e-05,                7.6e-05,                7.6e-05
