                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0225,                 3.9877,                 4.2549,                0.00767,                0.16071,                0.00465,                0.00098,                 4.7668,                 3.8702,                 4.1565,              0.0001667,              0.0001667,              0.0001667
                      2,                  4.888,                 3.7253,                 4.1669,                0.00458,                0.32143,                0.00936,                0.00147,                 4.7504,                  3.856,                  4.143,             0.00033852,             0.00033852,             0.00033852
                      3,                 4.6757,                 3.3117,                 4.0613,                0.00393,                0.26786,                0.00636,                 0.0011,                 4.6972,                  3.779,                  4.091,             0.00049823,             0.00049823,             0.00049823
                      4,                 4.3068,                 2.9499,                 3.9268,                0.00689,                0.16071,                 0.0066,                0.00156,                 4.8289,                 3.8264,                 4.1743,             0.00064585,             0.00064585,             0.00064585
                      5,                 3.7698,                 2.6647,                 3.7414,                0.01074,                0.21429,                0.01051,                0.00223,                 5.1027,                 3.9464,                 4.3827,             0.00078136,             0.00078136,             0.00078136
                      6,                 3.5861,                  2.475,                 3.5472,                0.01014,                0.23214,                 0.0111,                0.00222,                 5.0529,                 3.8343,                 4.3056,             0.00090476,             0.00090476,             0.00090476
                      7,                 3.3789,                  2.249,                  3.301,                0.00996,                  0.625,                0.06319,                0.01108,                 4.0346,                  3.294,                 3.7839,              0.0010161,              0.0010161,              0.0010161
                      8,                  3.223,                 2.2023,                 3.1376,                0.01924,                0.57143,                0.12503,                0.01657,                 4.2649,                 3.2494,                 3.8415,              0.0011153,              0.0011153,              0.0011153
                      9,                  3.006,                 2.0808,                 3.0028,                0.12365,                0.25451,                0.06801,                0.01119,                   4.04,                 3.0441,                  3.741,              0.0012024,              0.0012024,              0.0012024
                     10,                  2.856,                 1.9432,                 2.8074,                0.17348,                0.32613,                0.10847,                0.02184,                 3.3287,                 2.7467,                 3.2887,              0.0011719,              0.0011719,              0.0011719
                     11,                 2.6396,                 1.8373,                 2.6801,                0.22647,                0.32143,                0.15514,                0.04237,                  2.628,                 3.0709,                 2.9257,              0.0011719,              0.0011719,              0.0011719
                     12,                 2.5144,                  1.752,                 2.5819,                0.48788,                0.53571,                0.49849,                0.16351,                 2.3594,                 2.1735,                 2.6934,              0.0011169,              0.0011169,              0.0011169
                     13,                 2.3718,                 1.6363,                 2.4763,                0.35616,                0.41071,                0.39037,                0.16648,                 2.1489,                 2.4098,                 2.5319,              0.0010619,              0.0010619,              0.0010619
                     14,                 2.3867,                 1.6022,                 2.4642,                0.65157,                0.67857,                0.72468,                0.25029,                 2.0421,                 2.1985,                 2.4282,              0.0010069,              0.0010069,              0.0010069
                     15,                 2.3045,                 1.5735,                 2.3927,                0.56249,                0.64286,                0.70637,                0.24907,                 2.0977,                 2.9243,                 2.5034,             0.00095186,             0.00095186,             0.00095186
                     16,                 2.2949,                 1.5182,                 2.3107,                0.46786,                    0.5,                  0.527,                0.21755,                  2.278,                 2.4067,                 2.5541,             0.00089685,             0.00089685,             0.00089685
                     17,                 2.0969,                 1.4467,                 2.2268,                0.59821,                0.66071,                0.69436,                0.27833,                 2.0792,                 1.9854,                 2.3816,             0.00084184,             0.00084184,             0.00084184
                     18,                 2.1584,                 1.5451,                 2.2969,                0.50289,                0.73214,                0.67035,                0.25701,                 2.0446,                 2.1263,                 2.3708,             0.00078682,             0.00078682,             0.00078682
                     19,                 2.0039,                 1.4017,                 2.1777,                 0.6077,                0.47034,                0.58763,                0.24022,                 1.9481,                 2.1784,                 2.3446,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.9683,                 1.3918,                 2.1408,                0.65112,                 0.6666,                0.74453,                0.30158,                 2.0149,                 1.9009,                 2.3348,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.7541,                 1.4629,                 2.0287,                0.66601,                0.60714,                0.71154,                0.31781,                 1.9598,                 2.3309,                 2.3319,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.8152,                 1.4525,                 2.0426,                 0.5433,                0.63735,                0.65148,                0.26776,                 1.9466,                 2.5372,                 2.3489,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.7121,                 1.4325,                 2.0245,                0.52796,                  0.625,                0.66744,                0.29763,                 1.8715,                 2.4867,                 2.2524,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.6413,                   1.23,                 1.9089,                0.62817,                0.41071,                0.51561,                0.22034,                 1.9808,                 2.9791,                 2.2944,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.5739,                 1.1816,                 1.8766,                0.80093,                0.26786,                0.40197,                0.16211,                 1.9205,                 2.8648,                 2.2725,             0.00040175,             0.00040175,             0.00040175
                     26,                  1.595,                 1.2385,                 1.8948,                0.78261,                0.33929,                0.51217,                0.20623,                 1.9282,                 2.6258,                 2.3283,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.5719,                 1.2135,                 1.8913,                0.56077,                  0.625,                0.59823,                0.26031,                 1.9702,                 2.5321,                 2.3515,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.5239,                 1.1879,                 1.8442,                0.58676,                0.66071,                0.68405,                0.32386,                 1.9556,                 2.3565,                 2.3485,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.5202,                 1.1719,                 1.8394,                0.65648,                0.71669,                  0.754,                0.36385,                 1.8641,                 2.1067,                 2.2837,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.4727,                  1.123,                 1.8265,                0.72715,                0.76786,                 0.7654,                0.36516,                 1.7794,                 2.0251,                 2.2426,             0.00012669,             0.00012669,             0.00012669
